group,handle,proposed_title,defects
clean,framed-canvas-movies-star-wars-episode-iv-a-new-hope-vintage-film-poster-vertical-blasters-aaapm32603,Star Wars Episode IV a New Hope Vertical Blasters Framed,ends on modifier
clean,framed-canvas-movies-star-wars-episode-iv-a-new-hope-vintage-film-poster-vertical-lightsaber-aaapm32602,Star Wars Episode IV a New Hope Vertical Lightsaber Framed,ends on modifier
clean,framed-canvas-movies-star-wars-episode-vii-the-force-awakens-official-film-poster-aaapm32607,Star Wars Episode Vii the Force Awakens Official Framed,ends on modifier
review,framed-canvas-ovechkin-895-goal-record-aacmh33399,Alexander Ovechkin Record Breaking Goal #895 NHL Washington Framed,ends on modifier
clean,framed-canvas-tv-star-wars-the-mandalorian-mando-baby-yoda-aaapm32610,Star Wars the Mandalorian Mando and Baby Yoda Grogu Framed,ends on modifier
clean,framed-litho-hull-small-aacmh30452,Bobby Hull Autographed Lithograph Framed,ends on modifier
clean,framed-litho-legendsofthecrease-small-aacmh30226,Legends of the Crease Signed Lithograph Framed,ends on modifier
clean,framed-plaque-hhof-bobby-orr-unsigned-limited-edition-1of44-aacmh32972,Bobby Orr Historic Collectors Plaque #1 of 44 – Framed,ends on modifier
clean,framed-plaque-hhof-bobby-orr-unsigned-limited-edition-44of44-aacmh32974,Bobby Orr Historic Collectors Plaque #44 of 44 – Framed,ends on modifier
clean,framed-plaque-hhof-bobby-orr-unsigned-limited-edition-4of44-aacmh32973,Bobby Orr Historic Collectors Plaque #4 of 44 – Framed,ends on modifier
clean,framed-shorts-muhammad-ali-autographed-limited-edition-gold-aapcb33493,Muhammad Ali Autographed Boxing Shorts 40 X 40 Gold Display,stray X
clean,framed-shorts-muhammad-ali-autographed-limited-edition-silver-aapcb33494,Muhammad Ali Autographed Boxing Shorts 40 X 40 Silver Frame,stray X
clean,gump-worsley-montreal-autographed-on-ice-action-8x10-photo,Gump Worsley Montreal Canadiens Autographed on 8x10 Photo,word missing before size
clean,matthew-tkachuk-calgary-signed-poised-to-shoot-8x10-photo,Matthew Tkachuk Calgary Flames Signed Poised to 8x10 Photo,word missing before size
case_only,ray-bourque-signed-boston-hockey-puck-with-5-x-norris-note,Ray Bourque Signed Boston Bruins Puck with 5 X Norris Note,stray X
clean,ron-hextall-philadelphia-autographed-in-goal-8x10-photo,Ron Hextall Philadelphia Flyers Autographed in 8x10 Photo,word missing before size
clean,sam-bennett-signed-2014-entry-draft-puck-with-4th-pick-note,Sam Bennett 2014 NHL Draft Day Hockey Puck Autographed,ends on modifier
clean,ted-lindsay-detroit-signed-with-hall-of-fame-note-8x10-photo,Ted Lindsay Detroit Red Wings Signed with Hall of 8x10 Photo,word missing before size
